2020-02-22 13:32:27,472 [Server thread] ERROR GottschCore | AbstractResourceManager.java:173 | Unable to locate resource /structures/treasure2/float/
2020-02-22 13:32:27,644 [Server thread] INFO GottschCore | VersionChecker.java:110 | [gottschcore] Starting version check at https://raw.githubusercontent.com/gottsch/gottsch-minecraft-GottschCore/master/GottschCore1.12.2/update.json
2020-02-22 13:32:27,716 [Server thread] INFO GottschCore | VersionChecker.java:110 | [treasure2] Starting version check at https://raw.githubusercontent.com/gottsch/gottsch-minecraft-Treasure/master/Treasure2-1.12.2/update.json
2020-02-22 13:32:31,902 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:368 | CHEATER! UNCOMMON chest at coords: -344 66 -616
2020-02-22 13:32:33,198 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:368 | CHEATER! COMMON chest at coords: -280 64 -552
2020-02-22 13:32:33,966 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:368 | CHEATER! UNCOMMON chest at coords: -248 60 -392
2020-02-22 13:32:35,116 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:368 | CHEATER! UNCOMMON chest at coords: -200 65 -312
2020-02-22 13:32:35,539 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:368 | CHEATER! COMMON chest at coords: -168 63 -504
2020-02-22 13:32:36,269 [Server thread] INFO Treasure2 | WellGenerator.java:114 | CHEATER! Wishing Well at coords: -136 64 -376
2020-02-22 13:32:36,351 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:368 | CHEATER! UNCOMMON chest at coords: -120 63 -632
2020-02-22 13:32:36,871 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:368 | CHEATER! COMMON chest at coords: -104 65 -296
2020-02-22 13:54:28,296 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:368 | CHEATER! UNCOMMON chest at coords: -360 69 -232
2020-02-22 13:55:09,673 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:368 | CHEATER! COMMON chest at coords: -104 68 -200
2020-02-22 13:55:42,505 [Server thread] WARN GottschCore | LootTable.java:71 | Tried to over-fill a container
2020-02-22 13:55:42,505 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:368 | CHEATER! SCARCE chest at coords: -72 65 -392
2020-02-22 15:19:08,387 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:368 | CHEATER! COMMON chest at coords: -360 66 -152
2020-02-22 15:19:13,510 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:368 | CHEATER! COMMON chest at coords: -264 71 -120
2020-02-22 15:19:19,438 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:368 | CHEATER! UNCOMMON chest at coords: -168 73 -88
2020-02-22 15:21:26,236 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:368 | CHEATER! COMMON chest at coords: -296 64 -8
2020-02-22 15:26:42,162 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:368 | CHEATER! UNCOMMON chest at coords: -152 72 56
2020-02-22 15:27:54,830 [Server thread] INFO Treasure2 | SubmergedChestWorldGenerator.java:281 | CHEATER! SCARCE chest at coords: -136 50 248
2020-02-22 15:28:04,872 [Server thread] INFO Treasure2 | WellGenerator.java:114 | CHEATER! Wishing Well at coords: -104 65 56
2020-02-22 15:28:12,698 [Server thread] WARN GottschCore | LootTable.java:71 | Tried to over-fill a container
2020-02-22 15:28:12,698 [Server thread] INFO Treasure2 | SubmergedChestWorldGenerator.java:281 | CHEATER! RARE chest at coords: -242 31 382
2020-02-22 15:28:42,756 [Server thread] INFO Treasure2 | SubmergedChestWorldGenerator.java:281 | CHEATER! SCARCE chest at coords: -104 31 482
2020-02-22 15:29:03,844 [Server thread] INFO Treasure2 | SubmergedChestWorldGenerator.java:281 | CHEATER! EPIC chest at coords: -157 32 786
2020-02-22 15:29:26,037 [Server thread] WARN GottschCore | LootTable.java:71 | Tried to over-fill a container
2020-02-22 15:29:26,037 [Server thread] INFO Treasure2 | SubmergedChestWorldGenerator.java:281 | CHEATER! SCARCE chest at coords: -130 34 942
2020-02-22 15:30:12,483 [Server thread] INFO Treasure2 | SubmergedChestWorldGenerator.java:281 | CHEATER! SCARCE chest at coords: -274 39 1310
2020-02-22 15:30:24,593 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:368 | CHEATER! COMMON chest at coords: -328 69 1416
